Year,State,Total_SqMi
2016,IN,"36,420"
2016,KS,"82,278"
2016,KY,"40,408"
2016,LA,"52,378"
2016,MA,"10,554"
2016,MD,"12,406"
2016,ME,"35,380"
2016,MI,"96,714"
2016,MN,"86,936"
2016,MO,"69,707"
2016,MS,"48,432"
2016,MT,"147,040"
2016,NC,"53,819"
2016,ND,"70,698"
2016,NE,"77,348"
2016,NH,"9,349"
2016,NJ,"8,723"
2016,NM,"121,590"
2016,NV,"110,572"
2016,NY,"54,555"
2016,OH,"44,826"
2016,OK,"69,899"
2016,OR,"98,379"
2016,PA,"46,054"
2016,RI,"1,545"
2016,SC,"32,020"
2016,SD,"77,116"
2016,TN,"42,144"
2016,TX,"268,596"
2016,UT,"84,897"
2016,VA,"42,775"
2016,VT,"9,616"
2016,WA,"71,298"
2016,WI,"65,496"
2016,WV,"24,230"
2016,WY,"97,813"
2017,AK,"665,384"
2017,AL,"52,420"
2017,AR,"53,179"
2017,AZ,"113,990"
2017,CA,"163,695"
2017,CO,"104,094"
2017,CT,"5,543"
2017,DE,"2,489"
2017,FL,"65,758"
2017,GA,"59,425"
2017,HI,"10,932"
2017,IA,"56,273"
2017,ID,"83,569"
2017,IL,"57,914"
2017,IN,"36,420"
2017,KS,"82,278"
2017,KY,"40,408"
2017,LA,"52,378"
2017,MA,"10,554"
2017,MD,"12,406"
2017,ME,"35,380"
2017,MI,"96,714"
2017,MN,"86,936"
2017,MO,"69,707"
2017,MS,"48,432"
2017,MT,"147,040"
2017,NC,"53,819"
2017,ND,"70,698"
2017,NE,"77,348"
2017,NH,"9,349"
2017,NJ,"8,723"
2017,NM,"121,590"
2017,NV,"110,572"
2017,NY,"54,555"
2017,OH,"44,826"
2017,OK,"69,899"
2017,OR,"98,379"
2017,PA,"46,054"
2017,RI,"1,545"
2017,SC,"32,020"
2017,SD,"77,116"
2017,TN,"42,144"
2017,TX,"268,596"
2017,UT,"84,897"
2017,VA,"42,775"
2017,VT,"9,616"
2017,WA,"71,298"
2017,WI,"65,496"
2017,WV,"24,230"
2017,WY,"97,813"
2018,AK,"665,384"
2018,AL,"52,420"
2018,AR,"53,179"
2018,AZ,"113,990"
2018,CA,"163,695"
2018,CO,"104,094"
2018,CT,"5,543"
2018,DE,"2,489"
2018,FL,"65,758"
2018,GA,"59,425"
2018,HI,"10,932"
2018,IA,"56,273"
2018,ID,"83,569"
2018,IL,"57,914"
2018,IN,"36,420"
2018,KS,"82,278"
2018,KY,"40,408"
2018,LA,"52,378"
2018,MA,"10,554"
2018,MD,"12,406"
2018,ME,"35,380"
2018,MI,"96,714"
2018,MN,"86,936"
2018,MO,"69,707"
2018,MS,"48,432"
2018,MT,"147,040"
2018,NC,"53,819"
2018,ND,"70,698"
2018,NE,"77,348"
2018,NH,"9,349"
2018,NJ,"8,723"
2018,NM,"121,590"
2018,NV,"110,572"
2018,NY,"54,555"
2018,OH,"44,826"
2018,OK,"69,899"
2018,OR,"98,379"
2018,PA,"46,054"
2018,RI,"1,545"
2018,SC,"32,020"
2018,SD,"77,116"
2018,TN,"42,144"
2018,TX,"268,596"
2018,UT,"84,897"
2018,VA,"42,775"
2018,VT,"9,616"
2018,WA,"71,298"
2018,WI,"65,496"
2018,WV,"24,230"
2018,WY,"97,813"
2019,AK,"665,384"
2019,AL,"52,420"
2019,AR,"53,179"
2019,AZ,"113,990"
2019,CA,"163,695"
2019,CO,"104,094"
2019,CT,"5,543"
2019,DE,"2,489"
2019,FL,"65,758"
2019,GA,"59,425"
2019,HI,"10,932"
2019,IA,"56,273"
2019,ID,"83,569"
2019,IL,"57,914"
2019,IN,"36,420"
2019,KS,"82,278"
2019,KY,"40,408"
2019,LA,"52,378"
2019,MA,"10,554"
2019,MD,"12,406"
2019,ME,"35,380"
2019,MI,"96,714"
2019,MN,"86,936"
2019,MO,"69,707"
2019,MS,"48,432"
2019,MT,"147,040"
2019,NC,"53,819"
2019,ND,"70,698"
2019,NE,"77,348"
2019,NH,"9,349"
2019,NJ,"8,723"
2019,NM,"121,590"
2019,NV,"110,572"
2019,NY,"54,555"
2019,OH,"44,826"
2019,OK,"69,899"
2019,OR,"98,379"
2019,PA,"46,054"
2019,RI,"1,545"
2019,SC,"32,020"
2019,SD,"77,116"
2019,TN,"42,144"
2019,TX,"268,596"
2019,UT,"84,897"
2019,VA,"42,775"
2019,VT,"9,616"
2019,WA,"71,298"
2019,WI,"65,496"
2019,WV,"24,230"
2019,WY,"97,813"
