Year,State,Total_Sen_Votes,Dem_Sen_Votes,Rep_Sen_Votes
2011,NE,792511.0,317456.0,455854.0
2011,NH,454710.0,167545.0,273218.0
2011,NJ,3482445.0,1951218.0,1461025.0
2011,NM,823650.0,505128.0,318522.0
2011,NV,721404.0,362785.0,321361.0
2011,NY,4763899.0,3047880.0,1239605.0
2011,OH,3815098.0,1503297.0,2168742.0
2011,OK,1017151.0,265814.0,718482.0
2011,OR,1442588.0,825507.0,566199.0
2011,PA,3977661.0,1948716.0,2028945.0
2011,RI,438812.0,320644.0,116174.0
2011,SC,1318794.0,364598.0,810771.0
2011,SD,227947.0,237889.0,227947.0
2011,TN,2424585.0,767236.0,1579477.0
2011,TX,7912075.0,3389365.0,4337469.0
2011,UT,585230.0,191732.0,360403.0
2011,VA,3643294.0,2369327.0,1228830.0
2011,VT,235178.0,151281.0,72699.0
2011,WA,2511094.0,1314930.0,1196164.0
2011,WI,2171331.0,1020958.0,1126133.0
2011,WV,529948.0,283358.0,230013.0
2011,WY,250007.0,60631.0,189046.0
2012,AK,255503.0,60045.0,90839.0
2012,AL,1485499.0,515619.0,968181.0
2012,AR,779957.0,288156.0,451618.0
2012,AZ,2243422.0,1036542.0,1104457.0
2012,CA,12578511.0,7864624.0,4713887.0
2012,CO,1772286.0,851590.0,822731.0
2012,CT,1511764.0,792983.0,604569.0
2012,DE,399606.0,265415.0,115700.0
